date,store_id,sku,product_category,total_sales_units,on_hand_inventory_units,replenishment_units,inventory_pipeline,units_in_transit,units_in_dc,units_on_order,units_under_promotion,shelf_capacity
20190102,63,57,Category 04,0,8,0,16,0,0,8,0,32
20190104,63,57,Category 04,0,7,0,14,0,8,0,0,32
20190105,63,57,Category 04,3,5,8,12,8,0,0,0,32
20190106,63,57,Category 04,2,11,0,11,0,0,0,0,32
20190109,63,57,Category 04,3,7,0,14,0,0,8,0,32
20190110,63,57,Category 04,2,5,0,13,0,0,8,0,32
20190113,63,57,Category 04,0,13,0,21,0,8,0,0,32
20190115,63,57,Category 04,0,13,0,13,0,0,0,0,32
20190116,63,57,Category 04,0,14,0,13,0,0,0,0,32
20190120,63,57,Category 04,2,6,0,14,0,0,8,0,32
20190124,63,57,Category 04,0,11,0,10,0,0,0,0,32
20190125,63,57,Category 04,3,9,0,8,0,0,0,0,32
20190130,63,57,Category 04,4,8,0,16,0,0,8,0,32
20190131,63,57,Category 04,0,9,0,16,0,0,8,0,32
20190201,63,57,Category 04,2,7,0,15,0,0,8,0,32
20190202,63,57,Category 04,0,8,0,15,0,0,8,0,32
20190203,63,57,Category 04,3,5,8,13,8,0,0,0,32
20190208,63,57,Category 04,0,19,8,19,0,0,0,0,32
20190209,63,57,Category 04,5,15,0,15,0,0,0,0,32
20190211,63,57,Category 04,0,13,0,13,0,0,0,0,32
20190214,63,57,Category 04,0,22,0,21,0,0,0,0,32
20190217,63,57,Category 04,3,20,0,19,0,0,0,0,32
20190218,63,57,Category 04,6,14,0,14,0,0,0,0,32
20190224,63,57,Category 04,0,17,0,24,0,0,8,0,32
20190225,63,57,Category 04,3,15,0,22,0,0,8,0,32
20190227,63,57,Category 04,2,14,0,13,0,0,0,0,32
20190301,63,57,Category 04,4,9,0,25,0,0,16,0,32
20190302,63,57,Category 04,0,10,0,25,0,0,16,0,32
20190303,63,57,Category 04,2,8,16,32,16,0,8,0,32
20190304,63,57,Category 04,0,24,0,48,0,16,8,0,32
20190307,63,57,Category 04,0,21,0,20,0,0,0,0,32
20190309,63,57,Category 04,4,16,0,16,0,0,0,0,32
20190311,63,57,Category 04,0,16,0,16,0,0,0,0,32
20190313,63,57,Category 04,0,17,0,16,0,0,0,0,32
20190314,63,57,Category 04,2,16,0,15,0,0,0,0,32
20190315,63,57,Category 04,4,13,0,12,0,0,0,0,32
20190316,63,57,Category 04,2,12,0,11,0,0,0,0,32
20190317,63,57,Category 04,2,11,8,18,8,0,0,0,32
20190318,63,57,Category 04,2,17,0,25,0,8,0,0,32
20190319,63,57,Category 04,0,17,0,17,0,0,0,0,32
20190320,63,57,Category 04,0,18,0,17,0,0,0,0,32
20190325,63,57,Category 04,2,14,0,13,0,0,0,0,32
20190326,63,57,Category 04,5,9,0,9,0,0,0,0,32
20190328,63,57,Category 04,0,9,0,9,0,0,0,0,32
20190330,63,57,Category 04,0,7,0,23,0,0,16,0,32
20190331,63,57,Category 04,0,8,0,23,0,0,16,0,32
20190401,63,57,Category 04,3,5,0,21,0,0,16,0,32
20190402,63,57,Category 04,0,5,8,13,8,0,0,0,32
20190404,63,57,Category 04,0,10,0,10,0,0,0,0,32
20190407,63,57,Category 04,0,10,0,17,0,0,8,0,32
20190411,63,57,Category 04,2,13,0,12,0,0,0,0,32
20190412,63,57,Category 04,2,11,0,19,0,0,8,0,32
20190413,63,57,Category 04,0,1,0,0,0,0,0,0,32
20190414,63,57,Category 04,3,10,0,17,0,0,8,0,32
20190418,63,57,Category 04,4,12,0,11,0,0,0,0,32
20190420,63,57,Category 04,2,16,0,32,0,0,16,0,32
20190423,63,57,Category 04,0,13,8,28,16,0,0,0,32
20190425,63,57,Category 04,4,22,0,38,0,0,16,0,32
20190426,63,57,Category 04,0,23,0,38,0,0,16,0,32
20190430,63,57,Category 04,2,17,0,24,0,0,8,0,32
20190501,63,57,Category 04,4,13,0,21,0,0,8,0,32
20190504,63,57,Category 04,0,10,8,18,0,0,8,0,32
20190506,63,57,Category 04,0,9,0,17,0,0,8,0,32
20190507,63,57,Category 04,0,10,0,25,0,16,0,0,32
20190509,63,57,Category 04,8,21,0,20,0,0,0,0,32
20190510,63,57,Category 04,2,1,0,0,0,0,0,0,32
20190514,63,57,Category 04,2,13,0,12,0,0,0,0,32
20190515,63,57,Category 04,2,12,0,11,0,0,0,0,32
20190517,63,57,Category 04,2,7,0,15,0,0,8,0,32
20190518,63,57,Category 04,0,8,0,15,0,0,8,0,32
20190523,63,57,Category 04,6,4,0,19,0,0,16,0,32
